Date,CO2(ppm),Temp(C),CarCount,Time,DateCorr
16:30:01,458.15,17.84,0,08:50:00,03/09/2022
16:35:01,462.59,18.73,0,08:55:00,03/09/2022
16:40:01,458.72,19.25,0,09:00:00,03/09/2022
16:45:01,457.22,19.44,0,09:05:00,03/09/2022
16:50:01,468.64,19.65,0,09:10:00,03/09/2022
16:55:01,458.01,19.76,0,09:15:00,03/09/2022
17:00:01,464.01,19.72,0,09:20:00,03/09/2022
17:05:01,463.46,19.25,0,09:25:00,03/09/2022
17:10:01,460.3,18.38,0,09:30:00,03/09/2022
17:15:01,458.75,18.34,0,09:35:00,03/09/2022
17:20:01,467.52,18.15,0,09:40:00,03/09/2022
17:25:01,464.45,17.66,0,09:45:00,03/09/2022
17:30:01,432.55,17.69,0,09:50:00,03/09/2022
17:35:01,457.95,18.15,0,09:55:00,03/09/2022
17:40:01,464.1,17.79,0,10:00:00,03/09/2022
17:45:01,450.27,17.48,0,10:05:00,03/09/2022
17:50:01,451.79,17.19,0,10:10:00,03/09/2022
17:55:01,447.26,17.29,0,10:15:00,03/09/2022
18:00:01,454.63,17.19,0,10:20:00,03/09/2022
18:05:01,454.91,18.01,0,10:25:00,03/09/2022
18:10:01,457.27,18.34,0,10:30:00,03/09/2022
18:15:01,461.71,18,0,10:35:00,03/09/2022
18:20:01,451.13,17.65,0,10:40:00,03/09/2022
18:25:01,448.16,17.76,0,10:45:00,03/09/2022
18:30:01,464.51,17.46,0,10:50:00,03/09/2022
18:35:01,457.69,17.13,0,10:55:00,03/09/2022
18:40:01,462.06,17.25,0,11:00:00,03/09/2022
18:45:01,462.93,17.22,0,11:05:00,03/09/2022
18:50:01,462.7,17.35,0,11:10:00,03/09/2022
18:55:01,459.93,17.53,0,11:15:00,03/09/2022
19:00:01,466.31,17.5,0,11:20:00,03/09/2022
19:05:01,451.82,16.92,0,11:25:00,03/09/2022
19:10:01,448.19,16.88,0,11:30:00,03/09/2022
19:15:01,454.43,17.03,0,11:35:00,03/09/2022
19:20:01,453.74,17.05,0,11:40:00,03/09/2022
19:25:01,453.63,17.39,0,11:45:00,03/09/2022
19:30:01,443.51,18.44,0,11:50:00,03/09/2022
19:35:01,448.39,20.52,0,11:55:00,03/09/2022
19:40:01,473.49,22.35,0,12:00:00,03/09/2022
19:45:01,444.63,22.97,0,12:05:00,03/09/2022
19:50:01,442.29,29.51,0,12:10:00,03/09/2022
19:55:01,nan,nan,0,12:15:00,03/09/2022
20:00:01,nan,nan,0,12:20:00,03/09/2022
20:05:01,547.81,27.4,0,12:25:00,03/09/2022
20:10:01,420.08,28.69,0,12:30:00,03/09/2022
20:15:01,450.98,28.72,0,12:35:00,03/09/2022
20:20:01,353.82,33.42,0,12:40:00,03/09/2022
20:25:01,nan,nan,0,12:45:00,03/09/2022
20:30:01,417.93,28.57,0,12:50:00,03/09/2022
20:35:01,423.67,26.03,0,12:55:00,03/09/2022
20:40:01,418.34,22.91,0,13:00:00,03/09/2022
20:45:01,417.38,21.06,0,13:05:00,03/09/2022
20:50:01,407.26,20.61,0,13:10:00,03/09/2022
20:55:01,430.63,20.55,0,13:15:00,03/09/2022
